location,request,mode,time_step,quntantile,value,objective,Power,e_loc1,e_loc2,e_loc3,base_a1,base_a2,base_a3,base_a4,base_b1,base_b2,base_b3,base_b4
loc3,req4,mode3,16,y_0,1.0,15291078770.679922,2201.83,"[889.767662, 1440.901112, 1723.438733, 2058.020773, 2824.221827, 1431.30653]","[798.176137, 1039.574561, 771.281291, 879.485298, 1503.749572, 182.034186]","[843.324927, 1273.163735, 1377.036369, 1326.730637, 2188.820491, 908.11654]","[1.0, 1.0, 1.1, 1.3, 0.9, 0.9]","[0.1, 0.0, 0.1, 0.0, 0.1, 0.1]","[14.4, 14.5, 13.8, 14.0, 14.3, 13.8]","[2.0, 1.8, 1.9, 1.8, 2.2, 2.1]","[0.2, 0.2, 0.0, 0.3, 0.1, 0.0]","[0.0, 0.1, 0.1, 0.1, 0.1, 0.1]","[13.2, 13.0, 12.9, 12.7, 13.1, 12.6]","[4.2, 3.7, 3.4, 3.9, 3.5, 3.7]"
loc1,req2,mode4,17,y_0,1.0,15220511050.009706,1020.23,"[2340.863993, 2388.39546, 1603.041572, 1436.022425, 994.944144, 1259.823722]","[1370.159794, 768.974025, 1046.093493, 166.724594, 748.306456, 712.459568]","[2084.39689, 1845.361479, 1443.588219, 1269.409132, 918.137613, 1137.83423]","[1.2, 1.0, 1.0, 1.0, 1.1, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[14.5, 13.7, 14.4, 13.9, 13.9, 12.4]","[2.1, 1.9, 2.1, 2.3, 1.8, 1.7]","[0.3, 0.0, 0.0, 0.2, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.3, 12.3, 13.1, 13.3, 12.6, 11.1]","[4.4, 3.9, 4.0, 4.4, 4.1, 3.3]"
loc2,req1,mode1,17,y_0,1.0,15220511050.009706,745.5996923,"[2340.863993, 2388.39546, 1603.041572, 1436.022425, 994.944144, 1259.823722]","[1370.159794, 768.974025, 1046.093493, 166.724594, 748.306456, 712.459568]","[2084.39689, 1845.361479, 1443.588219, 1269.409132, 918.137613, 1137.83423]","[1.2, 1.0, 1.0, 1.0, 1.1, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[14.5, 13.7, 14.4, 13.9, 13.9, 12.4]","[2.1, 1.9, 2.1, 2.3, 1.8, 1.7]","[0.3, 0.0, 0.0, 0.2, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.3, 12.3, 13.1, 13.3, 12.6, 11.1]","[4.4, 3.9, 4.0, 4.4, 4.1, 3.3]"
loc2,req3,mode1,17,y_0,1.0,15220511050.009706,747.2272727,"[2340.863993, 2388.39546, 1603.041572, 1436.022425, 994.944144, 1259.823722]","[1370.159794, 768.974025, 1046.093493, 166.724594, 748.306456, 712.459568]","[2084.39689, 1845.361479, 1443.588219, 1269.409132, 918.137613, 1137.83423]","[1.2, 1.0, 1.0, 1.0, 1.1, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[14.5, 13.7, 14.4, 13.9, 13.9, 12.4]","[2.1, 1.9, 2.1, 2.3, 1.8, 1.7]","[0.3, 0.0, 0.0, 0.2, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.3, 12.3, 13.1, 13.3, 12.6, 11.1]","[4.4, 3.9, 4.0, 4.4, 4.1, 3.3]"
loc2,req3,mode2,17,y_0,2.0,15220511050.009706,1472.297377,"[2340.863993, 2388.39546, 1603.041572, 1436.022425, 994.944144, 1259.823722]","[1370.159794, 768.974025, 1046.093493, 166.724594, 748.306456, 712.459568]","[2084.39689, 1845.361479, 1443.588219, 1269.409132, 918.137613, 1137.83423]","[1.2, 1.0, 1.0, 1.0, 1.1, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[14.5, 13.7, 14.4, 13.9, 13.9, 12.4]","[2.1, 1.9, 2.1, 2.3, 1.8, 1.7]","[0.3, 0.0, 0.0, 0.2, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.3, 12.3, 13.1, 13.3, 12.6, 11.1]","[4.4, 3.9, 4.0, 4.4, 4.1, 3.3]"
loc3,req4,mode3,17,y_0,1.0,15220511050.009706,2201.83,"[2340.863993, 2388.39546, 1603.041572, 1436.022425, 994.944144, 1259.823722]","[1370.159794, 768.974025, 1046.093493, 166.724594, 748.306456, 712.459568]","[2084.39689, 1845.361479, 1443.588219, 1269.409132, 918.137613, 1137.83423]","[1.2, 1.0, 1.0, 1.0, 1.1, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[14.5, 13.7, 14.4, 13.9, 13.9, 12.4]","[2.1, 1.9, 2.1, 2.3, 1.8, 1.7]","[0.3, 0.0, 0.0, 0.2, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.3, 12.3, 13.1, 13.3, 12.6, 11.1]","[4.4, 3.9, 4.0, 4.4, 4.1, 3.3]"
loc1,req2,mode4,18,y_0,1.0,14382160564.40088,1020.23,"[865.349193, 1309.105515, 1059.942966, 2147.181281, 1551.954814, 1303.458878]","[801.303737, 744.260287, 807.492176, 1213.893751, 800.233512, 926.683]","[827.400316, 1102.831525, 958.096424, 1926.116206, 1267.784272, 1205.250393]","[1.2, 1.0, 0.9, 1.0, 0.9, 1.1]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[14.7, 14.3, 13.9, 14.1, 13.1, 13.5]","[1.9, 1.7, 2.5, 1.9, 2.0, 1.8]","[0.2, 0.2, 0.0, 0.2, 0.0, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[13.1, 12.3, 12.8, 12.8, 12.9, 11.8]","[3.8, 3.6, 4.3, 4.0, 3.5, 3.5]"
loc2,req1,mode1,18,y_0,1.0,14382160564.40088,745.5996923,"[865.349193, 1309.105515, 1059.942966, 2147.181281, 1551.954814, 1303.458878]","[801.303737, 744.260287, 807.492176, 1213.893751, 800.233512, 926.683]","[827.400316, 1102.831525, 958.096424, 1926.116206, 1267.784272, 1205.250393]","[1.2, 1.0, 0.9, 1.0, 0.9, 1.1]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[14.7, 14.3, 13.9, 14.1, 13.1, 13.5]","[1.9, 1.7, 2.5, 1.9, 2.0, 1.8]","[0.2, 0.2, 0.0, 0.2, 0.0, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[13.1, 12.3, 12.8, 12.8, 12.9, 11.8]","[3.8, 3.6, 4.3, 4.0, 3.5, 3.5]"
loc2,req3,mode1,18,y_0,1.0,14382160564.40088,747.2272727,"[865.349193, 1309.105515, 1059.942966, 2147.181281, 1551.954814, 1303.458878]","[801.303737, 744.260287, 807.492176, 1213.893751, 800.233512, 926.683]","[827.400316, 1102.831525, 958.096424, 1926.116206, 1267.784272, 1205.250393]","[1.2, 1.0, 0.9, 1.0, 0.9, 1.1]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[14.7, 14.3, 13.9, 14.1, 13.1, 13.5]","[1.9, 1.7, 2.5, 1.9, 2.0, 1.8]","[0.2, 0.2, 0.0, 0.2, 0.0, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[13.1, 12.3, 12.8, 12.8, 12.9, 11.8]","[3.8, 3.6, 4.3, 4.0, 3.5, 3.5]"
loc2,req3,mode2,18,y_0,2.0,14382160564.40088,1472.297377,"[865.349193, 1309.105515, 1059.942966, 2147.181281, 1551.954814, 1303.458878]","[801.303737, 744.260287, 807.492176, 1213.893751, 800.233512, 926.683]","[827.400316, 1102.831525, 958.096424, 1926.116206, 1267.784272, 1205.250393]","[1.2, 1.0, 0.9, 1.0, 0.9, 1.1]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[14.7, 14.3, 13.9, 14.1, 13.1, 13.5]","[1.9, 1.7, 2.5, 1.9, 2.0, 1.8]","[0.2, 0.2, 0.0, 0.2, 0.0, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[13.1, 12.3, 12.8, 12.8, 12.9, 11.8]","[3.8, 3.6, 4.3, 4.0, 3.5, 3.5]"
loc3,req4,mode3,18,y_0,1.0,14382160564.40088,2201.83,"[865.349193, 1309.105515, 1059.942966, 2147.181281, 1551.954814, 1303.458878]","[801.303737, 744.260287, 807.492176, 1213.893751, 800.233512, 926.683]","[827.400316, 1102.831525, 958.096424, 1926.116206, 1267.784272, 1205.250393]","[1.2, 1.0, 0.9, 1.0, 0.9, 1.1]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[14.7, 14.3, 13.9, 14.1, 13.1, 13.5]","[1.9, 1.7, 2.5, 1.9, 2.0, 1.8]","[0.2, 0.2, 0.0, 0.2, 0.0, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[13.1, 12.3, 12.8, 12.8, 12.9, 11.8]","[3.8, 3.6, 4.3, 4.0, 3.5, 3.5]"
loc1,req1,mode1,19,y_0,1.0,18203217576.946938,745.5996923,"[790.616586, 3410.884871, 2755.844772, 889.264657, 1565.57029, 1519.843246]","[829.732287, 995.546991, 785.144721, 774.289349, 978.405979, 860.977638]","[770.050622, 2629.377501, 2139.08826, 829.434836, 1274.237427, 1275.634886]","[1.1, 1.0, 1.0, 0.8, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.1]","[13.7, 13.6, 13.4, 13.5, 12.6, 15.1]","[2.0, 2.4, 1.7, 1.9, 1.9, 1.9]","[0.2, 0.2, 0.0, 0.1, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.9, 12.6, 12.7, 12.3, 12.0, 13.5]","[3.5, 3.6, 3.9, 3.6, 3.3, 3.6]"
loc1,req2,mode4,19,y_0,1.0,18203217576.946938,1020.23,"[790.616586, 3410.884871, 2755.844772, 889.264657, 1565.57029, 1519.843246]","[829.732287, 995.546991, 785.144721, 774.289349, 978.405979, 860.977638]","[770.050622, 2629.377501, 2139.08826, 829.434836, 1274.237427, 1275.634886]","[1.1, 1.0, 1.0, 0.8, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.1]","[13.7, 13.6, 13.4, 13.5, 12.6, 15.1]","[2.0, 2.4, 1.7, 1.9, 1.9, 1.9]","[0.2, 0.2, 0.0, 0.1, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.9, 12.6, 12.7, 12.3, 12.0, 13.5]","[3.5, 3.6, 3.9, 3.6, 3.3, 3.6]"
loc2,req3,mode2,19,y_0,1.0,18203217576.946938,1472.297377,"[790.616586, 3410.884871, 2755.844772, 889.264657, 1565.57029, 1519.843246]","[829.732287, 995.546991, 785.144721, 774.289349, 978.405979, 860.977638]","[770.050622, 2629.377501, 2139.08826, 829.434836, 1274.237427, 1275.634886]","[1.1, 1.0, 1.0, 0.8, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.1]","[13.7, 13.6, 13.4, 13.5, 12.6, 15.1]","[2.0, 2.4, 1.7, 1.9, 1.9, 1.9]","[0.2, 0.2, 0.0, 0.1, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.9, 12.6, 12.7, 12.3, 12.0, 13.5]","[3.5, 3.6, 3.9, 3.6, 3.3, 3.6]"
loc2,req3,mode3,19,y_0,1.0,18203217576.946938,2688.76,"[790.616586, 3410.884871, 2755.844772, 889.264657, 1565.57029, 1519.843246]","[829.732287, 995.546991, 785.144721, 774.289349, 978.405979, 860.977638]","[770.050622, 2629.377501, 2139.08826, 829.434836, 1274.237427, 1275.634886]","[1.1, 1.0, 1.0, 0.8, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.1]","[13.7, 13.6, 13.4, 13.5, 12.6, 15.1]","[2.0, 2.4, 1.7, 1.9, 1.9, 1.9]","[0.2, 0.2, 0.0, 0.1, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.9, 12.6, 12.7, 12.3, 12.0, 13.5]","[3.5, 3.6, 3.9, 3.6, 3.3, 3.6]"
loc3,req4,mode3,19,y_0,1.0,18203217576.946938,2201.83,"[790.616586, 3410.884871, 2755.844772, 889.264657, 1565.57029, 1519.843246]","[829.732287, 995.546991, 785.144721, 774.289349, 978.405979, 860.977638]","[770.050622, 2629.377501, 2139.08826, 829.434836, 1274.237427, 1275.634886]","[1.1, 1.0, 1.0, 0.8, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.1]","[13.7, 13.6, 13.4, 13.5, 12.6, 15.1]","[2.0, 2.4, 1.7, 1.9, 1.9, 1.9]","[0.2, 0.2, 0.0, 0.1, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.9, 12.6, 12.7, 12.3, 12.0, 13.5]","[3.5, 3.6, 3.9, 3.6, 3.3, 3.6]"
loc1,req1,mode1,20,y_0,1.0,18733407665.532715,745.5996923,"[1603.17847, 1108.724268, 1442.536782, 1302.39563, 1543.189928, 1136.089581]","[817.008348, 884.069133, 1008.011333, 880.021805, 996.638809, 2515.734118]","[1343.771084, 987.369968, 1230.067746, 1045.088113, 1256.368613, 2552.161632]","[0.9, 1.2, 1.1, 0.9, 1.0, 1.0]","[0.1, 0.0, 0.1, 0.1, 0.0, 0.1]","[13.5, 14.0, 14.0, 13.8, 15.1, 12.9]","[1.8, 1.7, 2.1, 1.6, 2.0, 1.9]","[0.2, 0.2, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.6, 12.6, 12.6, 12.7, 13.1, 11.8]","[3.4, 3.5, 3.9, 3.2, 4.0, 3.7]"
loc1,req2,mode4,20,y_0,1.0,18733407665.532715,1020.23,"[1603.17847, 1108.724268, 1442.536782, 1302.39563, 1543.189928, 1136.089581]","[817.008348, 884.069133, 1008.011333, 880.021805, 996.638809, 2515.734118]","[1343.771084, 987.369968, 1230.067746, 1045.088113, 1256.368613, 2552.161632]","[0.9, 1.2, 1.1, 0.9, 1.0, 1.0]","[0.1, 0.0, 0.1, 0.1, 0.0, 0.1]","[13.5, 14.0, 14.0, 13.8, 15.1, 12.9]","[1.8, 1.7, 2.1, 1.6, 2.0, 1.9]","[0.2, 0.2, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.6, 12.6, 12.6, 12.7, 13.1, 11.8]","[3.4, 3.5, 3.9, 3.2, 4.0, 3.7]"
loc2,req3,mode2,20,y_0,1.0,18733407665.532715,1472.297377,"[1603.17847, 1108.724268, 1442.536782, 1302.39563, 1543.189928, 1136.089581]","[817.008348, 884.069133, 1008.011333, 880.021805, 996.638809, 2515.734118]","[1343.771084, 987.369968, 1230.067746, 1045.088113, 1256.368613, 2552.161632]","[0.9, 1.2, 1.1, 0.9, 1.0, 1.0]","[0.1, 0.0, 0.1, 0.1, 0.0, 0.1]","[13.5, 14.0, 14.0, 13.8, 15.1, 12.9]","[1.8, 1.7, 2.1, 1.6, 2.0, 1.9]","[0.2, 0.2, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.6, 12.6, 12.6, 12.7, 13.1, 11.8]","[3.4, 3.5, 3.9, 3.2, 4.0, 3.7]"
loc2,req3,mode3,20,y_0,1.0,18733407665.532715,2688.76,"[1603.17847, 1108.724268, 1442.536782, 1302.39563, 1543.189928, 1136.089581]","[817.008348, 884.069133, 1008.011333, 880.021805, 996.638809, 2515.734118]","[1343.771084, 987.369968, 1230.067746, 1045.088113, 1256.368613, 2552.161632]","[0.9, 1.2, 1.1, 0.9, 1.0, 1.0]","[0.1, 0.0, 0.1, 0.1, 0.0, 0.1]","[13.5, 14.0, 14.0, 13.8, 15.1, 12.9]","[1.8, 1.7, 2.1, 1.6, 2.0, 1.9]","[0.2, 0.2, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.6, 12.6, 12.6, 12.7, 13.1, 11.8]","[3.4, 3.5, 3.9, 3.2, 4.0, 3.7]"
loc3,req4,mode3,20,y_0,1.0,18733407665.532715,2201.83,"[1603.17847, 1108.724268, 1442.536782, 1302.39563, 1543.189928, 1136.089581]","[817.008348, 884.069133, 1008.011333, 880.021805, 996.638809, 2515.734118]","[1343.771084, 987.369968, 1230.067746, 1045.088113, 1256.368613, 2552.161632]","[0.9, 1.2, 1.1, 0.9, 1.0, 1.0]","[0.1, 0.0, 0.1, 0.1, 0.0, 0.1]","[13.5, 14.0, 14.0, 13.8, 15.1, 12.9]","[1.8, 1.7, 2.1, 1.6, 2.0, 1.9]","[0.2, 0.2, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.1]","[12.6, 12.6, 12.6, 12.7, 13.1, 11.8]","[3.4, 3.5, 3.9, 3.2, 4.0, 3.7]"
loc1,req1,mode1,21,y_0,1.0,14671368889.192749,745.5996923,"[882.289398, 1509.599811, 1540.152195, 1302.907707, 1306.495085, 841.615185]","[855.065023, 730.755886, 815.390186, 906.643174, 995.442869, 830.468973]","[868.283971, 1273.568702, 1278.041014, 1150.113445, 1192.6254, 825.270322]","[0.9, 1.0, 1.0, 1.3, 1.0, 1.0]","[0.0, 0.1, 0.0, 0.0, 0.1, 0.0]","[13.5, 14.3, 15.5, 14.2, 15.3, 14.9]","[1.9, 1.6, 1.9, 2.2, 1.7, 1.8]","[0.3, 0.2, 0.0, 0.3, 0.2, 0.0]","[0.1, 0.1, 0.0, 0.1, 0.1, 0.1]","[12.7, 12.6, 13.4, 13.8, 13.7, 14.2]","[3.8, 3.5, 4.3, 4.1, 4.2, 3.6]"
loc1,req2,mode4,21,y_0,1.0,14671368889.192749,1020.23,"[882.289398, 1509.599811, 1540.152195, 1302.907707, 1306.495085, 841.615185]","[855.065023, 730.755886, 815.390186, 906.643174, 995.442869, 830.468973]","[868.283971, 1273.568702, 1278.041014, 1150.113445, 1192.6254, 825.270322]","[0.9, 1.0, 1.0, 1.3, 1.0, 1.0]","[0.0, 0.1, 0.0, 0.0, 0.1, 0.0]","[13.5, 14.3, 15.5, 14.2, 15.3, 14.9]","[1.9, 1.6, 1.9, 2.2, 1.7, 1.8]","[0.3, 0.2, 0.0, 0.3, 0.2, 0.0]","[0.1, 0.1, 0.0, 0.1, 0.1, 0.1]","[12.7, 12.6, 13.4, 13.8, 13.7, 14.2]","[3.8, 3.5, 4.3, 4.1, 4.2, 3.6]"
loc2,req3,mode2,21,y_0,1.0,14671368889.192749,1472.297377,"[882.289398, 1509.599811, 1540.152195, 1302.907707, 1306.495085, 841.615185]","[855.065023, 730.755886, 815.390186, 906.643174, 995.442869, 830.468973]","[868.283971, 1273.568702, 1278.041014, 1150.113445, 1192.6254, 825.270322]","[0.9, 1.0, 1.0, 1.3, 1.0, 1.0]","[0.0, 0.1, 0.0, 0.0, 0.1, 0.0]","[13.5, 14.3, 15.5, 14.2, 15.3, 14.9]","[1.9, 1.6, 1.9, 2.2, 1.7, 1.8]","[0.3, 0.2, 0.0, 0.3, 0.2, 0.0]","[0.1, 0.1, 0.0, 0.1, 0.1, 0.1]","[12.7, 12.6, 13.4, 13.8, 13.7, 14.2]","[3.8, 3.5, 4.3, 4.1, 4.2, 3.6]"
loc2,req3,mode3,21,y_0,1.0,14671368889.192749,2688.76,"[882.289398, 1509.599811, 1540.152195, 1302.907707, 1306.495085, 841.615185]","[855.065023, 730.755886, 815.390186, 906.643174, 995.442869, 830.468973]","[868.283971, 1273.568702, 1278.041014, 1150.113445, 1192.6254, 825.270322]","[0.9, 1.0, 1.0, 1.3, 1.0, 1.0]","[0.0, 0.1, 0.0, 0.0, 0.1, 0.0]","[13.5, 14.3, 15.5, 14.2, 15.3, 14.9]","[1.9, 1.6, 1.9, 2.2, 1.7, 1.8]","[0.3, 0.2, 0.0, 0.3, 0.2, 0.0]","[0.1, 0.1, 0.0, 0.1, 0.1, 0.1]","[12.7, 12.6, 13.4, 13.8, 13.7, 14.2]","[3.8, 3.5, 4.3, 4.1, 4.2, 3.6]"
loc3,req4,mode3,21,y_0,1.0,14671368889.192749,2201.83,"[882.289398, 1509.599811, 1540.152195, 1302.907707, 1306.495085, 841.615185]","[855.065023, 730.755886, 815.390186, 906.643174, 995.442869, 830.468973]","[868.283971, 1273.568702, 1278.041014, 1150.113445, 1192.6254, 825.270322]","[0.9, 1.0, 1.0, 1.3, 1.0, 1.0]","[0.0, 0.1, 0.0, 0.0, 0.1, 0.0]","[13.5, 14.3, 15.5, 14.2, 15.3, 14.9]","[1.9, 1.6, 1.9, 2.2, 1.7, 1.8]","[0.3, 0.2, 0.0, 0.3, 0.2, 0.0]","[0.1, 0.1, 0.0, 0.1, 0.1, 0.1]","[12.7, 12.6, 13.4, 13.8, 13.7, 14.2]","[3.8, 3.5, 4.3, 4.1, 4.2, 3.6]"
loc1,req1,mode1,22,y_0,1.0,22136220617.354797,745.5996923,"[931.97276, 933.501991, 2333.037758, 2912.166956, 2751.976547, 3091.562136]","[864.642998, 872.811438, 2084.551004, 800.712484, 1219.111586, 795.309576]","[900.619291, 896.108238, 2213.053835, 2139.616734, 2176.534274, 2253.877357]","[1.0, 1.0, 1.0, 1.0, 1.2, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[14.8, 14.8, 15.5, 15.4, 16.2, 14.8]","[1.9, 1.8, 2.2, 2.1, 2.4, 2.1]","[0.3, 0.1, 0.0, 0.2, 0.1, 0.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1]","[13.4, 13.8, 13.9, 14.0, 14.6, 13.2]","[3.9, 3.8, 4.2, 3.9, 4.1, 4.1]"
loc1,req2,mode4,22,y_0,1.0,22136220617.354797,1020.23,"[931.97276, 933.501991, 2333.037758, 2912.166956, 2751.976547, 3091.562136]","[864.642998, 872.811438, 2084.551004, 800.712484, 1219.111586, 795.309576]","[900.619291, 896.108238, 2213.053835, 2139.616734, 2176.534274, 2253.877357]","[1.0, 1.0, 1.0, 1.0, 1.2, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[14.8, 14.8, 15.5, 15.4, 16.2, 14.8]","[1.9, 1.8, 2.2, 2.1, 2.4, 2.1]","[0.3, 0.1, 0.0, 0.2, 0.1, 0.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1]","[13.4, 13.8, 13.9, 14.0, 14.6, 13.2]","[3.9, 3.8, 4.2, 3.9, 4.1, 4.1]"
loc2,req3,mode2,22,y_0,1.0,22136220617.354797,1472.297377,"[931.97276, 933.501991, 2333.037758, 2912.166956, 2751.976547, 3091.562136]","[864.642998, 872.811438, 2084.551004, 800.712484, 1219.111586, 795.309576]","[900.619291, 896.108238, 2213.053835, 2139.616734, 2176.534274, 2253.877357]","[1.0, 1.0, 1.0, 1.0, 1.2, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[14.8, 14.8, 15.5, 15.4, 16.2, 14.8]","[1.9, 1.8, 2.2, 2.1, 2.4, 2.1]","[0.3, 0.1, 0.0, 0.2, 0.1, 0.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1]","[13.4, 13.8, 13.9, 14.0, 14.6, 13.2]","[3.9, 3.8, 4.2, 3.9, 4.1, 4.1]"
loc2,req3,mode3,22,y_0,1.0,22136220617.354797,2688.76,"[931.97276, 933.501991, 2333.037758, 2912.166956, 2751.976547, 3091.562136]","[864.642998, 872.811438, 2084.551004, 800.712484, 1219.111586, 795.309576]","[900.619291, 896.108238, 2213.053835, 2139.616734, 2176.534274, 2253.877357]","[1.0, 1.0, 1.0, 1.0, 1.2, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[14.8, 14.8, 15.5, 15.4, 16.2, 14.8]","[1.9, 1.8, 2.2, 2.1, 2.4, 2.1]","[0.3, 0.1, 0.0, 0.2, 0.1, 0.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1]","[13.4, 13.8, 13.9, 14.0, 14.6, 13.2]","[3.9, 3.8, 4.2, 3.9, 4.1, 4.1]"
loc3,req4,mode3,22,y_0,1.0,22136220617.354797,2201.83,"[931.97276, 933.501991, 2333.037758, 2912.166956, 2751.976547, 3091.562136]","[864.642998, 872.811438, 2084.551004, 800.712484, 1219.111586, 795.309576]","[900.619291, 896.108238, 2213.053835, 2139.616734, 2176.534274, 2253.877357]","[1.0, 1.0, 1.0, 1.0, 1.2, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[14.8, 14.8, 15.5, 15.4, 16.2, 14.8]","[1.9, 1.8, 2.2, 2.1, 2.4, 2.1]","[0.3, 0.1, 0.0, 0.2, 0.1, 0.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1]","[13.4, 13.8, 13.9, 14.0, 14.6, 13.2]","[3.9, 3.8, 4.2, 3.9, 4.1, 4.1]"
loc1,req1,mode1,23,y_0,1.0,16248113896.610807,745.5996923,"[872.413636, 848.374038, 1074.347346, 3446.720683, 918.674519, 1463.238856]","[840.763157, 825.376093, 810.610363, 1054.870243, 804.433883, 860.013433]","[841.870527, 819.153117, 961.21743, 2563.338473, 853.69442, 1219.144691]","[1.1, 1.2, 1.0, 1.1, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[16.2, 15.6, 15.0, 17.3, 16.4, 14.6]","[1.9, 2.1, 2.2, 2.2, 2.3, 1.9]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.2, 0.1, 0.1, 0.1]","[14.7, 14.7, 13.6, 15.4, 14.9, 13.4]","[4.2, 4.0, 4.3, 4.3, 3.9, 3.8]"
loc1,req2,mode4,23,y_0,1.0,16248113896.610807,1020.23,"[872.413636, 848.374038, 1074.347346, 3446.720683, 918.674519, 1463.238856]","[840.763157, 825.376093, 810.610363, 1054.870243, 804.433883, 860.013433]","[841.870527, 819.153117, 961.21743, 2563.338473, 853.69442, 1219.144691]","[1.1, 1.2, 1.0, 1.1, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[16.2, 15.6, 15.0, 17.3, 16.4, 14.6]","[1.9, 2.1, 2.2, 2.2, 2.3, 1.9]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.2, 0.1, 0.1, 0.1]","[14.7, 14.7, 13.6, 15.4, 14.9, 13.4]","[4.2, 4.0, 4.3, 4.3, 3.9, 3.8]"
loc2,req3,mode2,23,y_0,3.0,16248113896.610807,1472.297377,"[872.413636, 848.374038, 1074.347346, 3446.720683, 918.674519, 1463.238856]","[840.763157, 825.376093, 810.610363, 1054.870243, 804.433883, 860.013433]","[841.870527, 819.153117, 961.21743, 2563.338473, 853.69442, 1219.144691]","[1.1, 1.2, 1.0, 1.1, 1.0, 1.1]","[0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[16.2, 15.6, 15.0, 17.3, 16.4, 14.6]","[1.9, 2.1, 2.2, 2.2, 2.3, 1.9]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.2, 0.1, 0.1, 0.1]","[14.7, 14.7, 13.6, 15.4, 14.9, 13.4]","[4.2, 4.0, 4.3, 4.3, 3.9, 3.8]"
